Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
109;20891;"Transportation Research Part A: Policy and Practice";journal;"09658564";2,393;Q1;120;133;272;6238;1064;264;3,51;46,90;United Kingdom;Western Europe;"Elsevier Ltd.";"1982, 1992-2020";"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
110;23145;"Language Learning";journal;"14679922, 00238333";2,382;Q1;95;39;148;2785;394;137;2,05;71,41;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
111;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";2,376;Q1;135;178;585;6829;1838;573;2,66;38,37;United States;Northern America;"Academic Press Inc.";"1965-2020";"Social Psychology (Q1); Sociology and Political Science (Q1)"
112;22478;"Journal of Memory and Language";journal;"10960821, 0749596X";2,376;Q1;138;56;202;3547;734;200;3,04;63,34;United States;Northern America;"Academic Press Inc.";"1985-2020";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
113;25987;"Social Networks";journal;"03788733";2,366;Q1;91;60;128;3260;643;125;3,31;54,33;Netherlands;Western Europe;"Elsevier BV";"1978-2020";"Anthropology (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
114;29434;"American Journal of Education";journal;"15496511, 01956744";2,363;Q1;51;26;68;1103;137;61;2,54;42,42;United States;Northern America;"University of Chicago";"1995-2001, 2003-2020";"Education (Q1)"
115;5100155103;"Journal of Informetrics";journal;"17511577";2,358;Q1;65;103;214;3230;990;194;4,72;31,36;Netherlands;Western Europe;"Elsevier BV";"2007-2020";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)"
116;17806;"Medical Education";journal;"13652923, 03080110";2,346;Q1;129;251;765;4920;1880;477;3,77;19,60;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1966-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
117;32383;"Cultural Anthropology";journal;"08867356, 15481360";2,341;Q1;71;46;97;1706;293;88;2,07;37,09;United States;Northern America;"American Anthropological Association";"1986-2019";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1)"
118;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";2,314;Q1;126;145;256;6778;1448;247;4,61;46,74;Netherlands;Western Europe;"Elsevier";"1989-2020";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
119;144971;"Linguistic Inquiry";journal;"00243892";2,309;Q1;67;27;97;1371;156;96;1,53;50,78;United States;Northern America;"MIT Press Journals";"1996, 1998-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1)"
120;17560;"Social Problems";journal;"15338533, 00377791";2,274;Q1;90;24;81;1985;237;80;2,02;82,71;United States;Northern America;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-2020";"Sociology and Political Science (Q1)"
121;14813;"Journal of Travel Research";journal;"15526763, 00472875";2,273;Q1;122;59;155;3974;570;153;3,21;67,36;United States;Northern America;"SAGE Publications Ltd";"1969-2020";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)"
122;19700187625;"Journal of Research on Educational Effectiveness";journal;"19345739, 19345747";2,270;Q1;31;15;55;867;132;48;2,61;57,80;United States;Northern America;"Routledge";"2008-2020";"Education (Q1)"
123;16547;"Tourism Management";journal;"02615177";2,260;Q1;179;156;411;10677;2024;406;4,06;68,44;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)"
124;13502;"Developmental Review";journal;"02732297, 10902406";2,248;Q1;88;17;47;2524;285;45;5,36;148,47;United States;Northern America;"Mosby Inc.";"1981-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
125;17148;"Tobacco Control";journal;"09644563, 14683318";2,244;Q1;117;139;390;3843;1353;320;4,14;27,65;United Kingdom;Western Europe;"BMJ Publishing Group";"1996-2020";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
126;14772;"Human Communication Research";journal;"03603989, 14682958";2,235;Q1;85;22;72;1185;247;69;2,73;53,86;United States;Northern America;"Wiley-Blackwell";"1974-2019";"Anthropology (Q1); Communication (Q1); Developmental and Educational Psychology (Q1); Linguistics and Language (Q1)"
127;25733;"Journal of Criminal Justice";journal;"00472352";2,213;Q1;73;57;255;3305;681;246;3,15;57,98;United Kingdom;Western Europe;"Elsevier BV";"1973-2020";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
128;16668;"School Effectiveness and School Improvement";journal;"09243453, 17445124";2,194;Q1;52;24;62;1221;168;58;1,82;50,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2020";"Education (Q1)"
129;15482;"Journal of Experimental Psychology: Learning Memory and Cognition";journal;"19391285, 02787393";2,187;Q1;151;162;393;7383;1325;374;3,36;45,57;United States;Northern America;"American Psychological Association Inc.";"1975, 1982-2020";"Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
130;22810;"British Journal of Criminology";journal;"00070955, 14643529";2,178;Q1;89;57;166;3748;536;163;2,78;65,75;United Kingdom;Western Europe;"Oxford University Press";"1960-2020";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q1)"
131;5200152701;"Academy of Management Learning and Education";journal;"1537260X";2,176;Q1;71;49;164;2563;492;131;3,14;52,31;United States;Northern America;"George Washington University";"2005-2019";"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
132;18927;"Journal of Human Evolution";journal;"00472484, 10958606";2,173;Q1;117;124;357;9982;1416;351;3,76;80,50;United States;Northern America;"Academic Press Inc.";"1972-2020";"Anthropology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Education (Q1)"
133;28094;"Accounting, Organizations and Society";journal;"03613682";2,170;Q1;125;33;114;3244;524;107;3,38;98,30;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
134;19250;"Work and Occupations";journal;"07308884, 15528464";2,158;Q1;63;18;52;1135;145;52;2,56;63,06;United States;Northern America;"SAGE Publications Inc.";"1974-2020";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
135;16220;"Journal of Law and Economics";journal;"15375285, 00222186";2,152;Q1;77;32;96;1486;160;96;1,73;46,44;United States;Northern America;"University of Chicago";"1978-1989, 1996-2019";"Economics and Econometrics (Q1); Law (Q1)"
136;17600154907;"Advances in Engineering Education";journal;"19411766";2,150;Q1;19;20;70;672;77;63;1,18;33,60;United States;Northern America;"American Society for Engineering Education";"2009-2019";"Education (Q1); Engineering (miscellaneous) (Q1)"
137;22838;"Political Communication";journal;"10584609, 10917675";2,148;Q1;77;31;64;1959;151;62;2,30;63,19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2020";"Communication (Q1); Sociology and Political Science (Q1)"
138;19725;"Educational Administration Quarterly";journal;"0013161X, 15523519";2,128;Q1;75;23;71;1606;171;71;2,02;69,83;United States;Northern America;"SAGE Publications Inc.";"1965-2020";"Education (Q1); Public Administration (Q1)"
139;26890;"Health Reports";journal;"12091367, 08406529";2,119;Q1;58;22;86;797;397;86;3,91;36,23;Canada;Northern America;"Statistics Canada";"1989-2020";"Demography (Q1); Public Health, Environmental and Occupational Health (Q1)"
140;4700152632;"International Journal of Computer-Supported Collaborative Learning";journal;"15561607, 15561615";2,113;Q1;50;22;80;1169;344;69;4,65;53,14;Germany;Western Europe;"Springer Publishing Company";"2006-2019";"Education (Q1); Human-Computer Interaction (Q1)"
141;13600;"Georgetown Law Journal";journal;"00168092";2,107;Q1;45;41;133;4622;275;128;1,91;112,73;United States;Northern America;"Georgetown University Law Center";"1973-1974, 1976-1977, 1979, 1981, 1983-1986, 1988, 1992, 1994-2019";"Law (Q1)"
142;25098;"Future of Children";journal;"15501558, 10548289";2,100;Q1;80;22;57;1553;296;56;3,39;70,59;United States;Northern America;"Center for the Future of Children";"1994-2015, 2017-2019";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
143;16642;"Michigan Law Review";journal;"00262234";2,096;Q1;49;45;105;9418;174;65;2,56;209,29;United States;Northern America;"Michigan Law Review Association";"1974-1980, 1982-1983, 1991, 1993-2020";"Law (Q1)"
144;20853;"Studies in Higher Education";journal;"03075079, 1470174X";2,079;Q1;97;100;179;4320;521;173;2,31;43,20;United Kingdom;Western Europe;"Routledge";"1976-2020";"Education (Q1)"
145;23930;"Conflict Management and Peace Science";journal;"07388942, 15499219";2,068;Q1;39;29;79;1594;106;77;1,23;54,97;United States;Northern America;"SAGE Publications Inc.";"1973, 1975-1986, 1988-1996, 1998-2020";"Economics and Econometrics (Q1); Political Science and International Relations (Q1)"
146;14925;"Gender and Society";journal;"08912432, 15523977";2,056;Q1;97;38;107;2009;314;99;2,12;52,87;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
147;29745;"Information and Organization";journal;"14717727";2,049;Q1;57;18;37;1267;198;36;6,12;70,39;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-1997, 2001-2020";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)"
148;19490;"Journal of Higher Education";journal;"15384640, 00221546";2,023;Q1;82;29;89;1738;188;87;2,05;59,93;United States;Northern America;"Ohio State University Press";"1994, 1996-2020";"Education (Q1)"
149;13268;"Scientific Studies of Reading";journal;"1532799X, 10888438";2,021;Q1;58;26;75;1357;210;73;2,78;52,19;United States;Northern America;"Routledge";"2004-2020";"Education (Q1); Psychology (miscellaneous) (Q1)"
150;26183;"Journal of Computer Assisted Learning";journal;"13652729, 02664909";2,013;Q1;86;46;137;2162;683;129;4,05;47,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2020";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
151;19878;"Journal of European Public Policy";journal;"14664429, 13501763";2,011;Q1;101;88;224;3944;613;218;2,48;44,82;United Kingdom;Western Europe;"Routledge";"1994-2020";"Public Administration (Q1); Sociology and Political Science (Q1)"
152;18699;"Theory, Culture and Society";journal;"02632764, 14603616";2,006;Q1;103;61;199;3016;576;192;1,49;49,44;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
153;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";2,000;-;142;109;272;4816;1076;261;3,39;44,18;United States;Northern America;"Gerontological Society of America";"1995-2020";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1)"
154;21100237201;"Transportmetrica A: Transport Science";journal;"23249943, 23249935";1,999;Q1;34;42;62;1496;131;59;1,98;35,62;United States;Northern America;"Taylor and Francis Inc.";"2013-2020";"Engineering (miscellaneous) (Q1); Transportation (Q1)"
155;16306;"New Media and Society";journal;"14614448, 14617315";1,983;Q1;99;76;228;4060;1102;223;4,91;53,42;United States;Northern America;"SAGE Publications Ltd";"1999-2020";"Communication (Q1); Sociology and Political Science (Q1)"
156;26493;"Academic Medicine";journal;"10402446, 1938808X";1,973;Q1;143;481;1488;8733;2982;1037;3,09;18,16;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1940-1941, 1945, 1953-1956, 1959, 1961, 1964-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
157;66374;"Journal of Educational Measurement";journal;"00220655";1,971;Q1;46;29;72;828;94;70;1,13;28,55;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)"
158;20909;"Transportation Research Part E: Logistics and Transportation Review";journal;"13665545";1,971;Q1;103;103;263;3818;1086;255;3,74;37,07;United Kingdom;Western Europe;"Elsevier Ltd.";"1997-2020";"Business and International Management (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
159;20323;"Journal of Education Policy";journal;"02680939, 14645106";1,968;Q1;73;45;143;2593;382;140;2,16;57,62;United Kingdom;Western Europe;"Routledge";"1986-2020";"Education (Q1)"
160;144636;"Linguistics and Philosophy";journal;"01650157";1,960;Q1;47;16;55;673;73;51;1,39;42,06;Netherlands;Western Europe;"Springer Netherlands";"1977-2002, 2005-2020";"Linguistics and Language (Q1); Philosophy (Q1)"
161;27365;"World Bank Economic Review";journal;"1564698X, 02586770";1,955;Q1;85;22;60;779;137;60;1,86;35,41;United Kingdom;Western Europe;"Oxford University Press";"1986-2020";"Accounting (Q1); Development (Q1); Economics and Econometrics (Q1); Finance (Q1)"
162;12164;"Brain and Language";journal;"10902155, 0093934X";1,953;Q1;118;155;277;9702;1050;263;3,59;62,59;United States;Northern America;"Academic Press Inc.";"1974-2020";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)"
163;12099;"British Educational Research Journal";journal;"14693518, 01411926";1,953;Q1;84;51;150;2850;536;147;2,78;55,88;United Kingdom;Western Europe;"Routledge";"1978-2020";"Education (Q1)"
164;22861;"Political Psychology";journal;"0162895X, 14679221";1,949;Q1;87;51;133;2873;343;129;2,27;56,33;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
165;25691;"Western European Politics";journal;"01402382, 17439655";1,949;Q1;76;63;198;3109;483;194;2,24;49,35;United Kingdom;Western Europe;"Routledge";"1978-2020";"Political Science and International Relations (Q1)"
166;18651;"Applied Linguistics";journal;"01426001, 1477450X";1,944;Q1;89;23;92;1180;283;89;2,69;51,30;United Kingdom;Western Europe;"Oxford University Press";"1980-2020";"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
167;26350;"Journal of European Social Policy";journal;"14617269, 09589287";1,943;Q1;68;32;98;1685;326;94;2,82;52,66;United States;Northern America;"SAGE Publications Ltd";"1991-2020";"Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1)"
168;29868;"California Law Review";journal;"00081221";1,936;Q1;51;31;129;5970;243;124;1,88;192,58;United States;Northern America;"California Law Review";"1973-1979, 1982-1983, 1986-1988, 1990-1992, 1994, 1996-2019";"Law (Q1)"
